epoch,learning_rate,loss,mae,r_square,val_loss,val_mae,val_r_square
0,0.0005000000237487257,0.9312096834182739,0.7630458474159241,0.08339732885360718,0.7920874953269958,0.7211868762969971,0.20532983541488647
1,0.0005000000237487257,0.6684953570365906,0.6355622410774231,0.3461548686027527,0.5755797028541565,0.6009612679481506,0.42670708894729614
2,0.0005000000237487257,0.5067335963249207,0.5417414903640747,0.5079267024993896,0.5037127733230591,0.5443786978721619,0.5001200437545776
3,0.0005000000237487257,0.45950832962989807,0.5129320621490479,0.5551098585128784,0.5507884621620178,0.5794084668159485,0.45196598768234253
4,0.0005000000237487257,0.44250810146331787,0.5029879212379456,0.5720689296722412,0.5381888151168823,0.5675870776176453,0.4648047685623169
5,0.0005000000237487257,0.4304119050502777,0.495336651802063,0.584138035774231,0.5693766474723816,0.5915286540985107,0.43290483951568604
6,0.0005000000237487257,0.4216594398021698,0.4903686046600342,0.5928725004196167,0.526692271232605,0.5589104294776917,0.4765172600746155
7,0.0005000000237487257,0.4058297276496887,0.4789167046546936,0.6086885929107666,0.6097769141197205,0.621831476688385,0.3915831446647644
8,0.0005000000237487257,0.4009420871734619,0.47557783126831055,0.6135571002960205,0.5518112182617188,0.5807862877845764,0.4508134722709656
9,0.0005000000237487257,0.3979531526565552,0.47487199306488037,0.6165317296981812,0.5476782917976379,0.575554609298706,0.4550201892852783
10,0.0005000000237487257,0.38585934042930603,0.46682101488113403,0.6286206841468811,0.5592887997627258,0.581748902797699,0.4431607127189636
11,0.0005000000237487257,0.38130393624305725,0.46371617913246155,0.6331747174263,0.576448380947113,0.5923796892166138,0.42562031745910645
12,0.0005000000237487257,0.37414929270744324,0.4618309736251831,0.6403323411941528,0.5588833689689636,0.5765277743339539,0.44357597827911377
13,0.0005000000237487257,0.36638641357421875,0.4559623897075653,0.6480960845947266,0.5561052560806274,0.5807315111160278,0.4464109539985657
14,0.0005000000237487257,0.36336445808410645,0.4536391794681549,0.6511209011077881,0.5574256181716919,0.5735085010528564,0.4450700879096985
15,0.0005000000237487257,0.3560323119163513,0.45002496242523193,0.6584547758102417,0.6001436114311218,0.6053906679153442,0.40141040086746216
16,0.0005000000237487257,0.3523375391960144,0.44722306728363037,0.6621517539024353,0.5822403430938721,0.5947908163070679,0.4197131395339966
17,0.0005000000237487257,0.34602421522140503,0.442056268453598,0.6684738397598267,0.5513802170753479,0.5693513751029968,0.45126450061798096
18,0.0002500000118743628,0.33312520384788513,0.43289101123809814,0.6813814640045166,0.516761302947998,0.5504606366157532,0.48665887117385864
19,0.0002500000118743628,0.32514214515686035,0.42754894495010376,0.6893711686134338,0.5299552083015442,0.5556987524032593,0.47317683696746826
20,0.0002500000118743628,0.32028862833976746,0.4245419502258301,0.6942296028137207,0.5344431400299072,0.5580599904060364,0.4685959219932556
21,0.0002500000118743628,0.3186770975589752,0.42481112480163574,0.6958467960357666,0.5292172431945801,0.5541983246803284,0.47394227981567383
22,0.0002500000118743628,0.3135279715061188,0.41924235224723816,0.7010006904602051,0.5233193635940552,0.5521116852760315,0.4799754023551941
23,0.0002500000118743628,0.31134647130966187,0.4198155105113983,0.7031883001327515,0.5101588368415833,0.5474156737327576,0.49343031644821167
24,0.0002500000118743628,0.3069508969783783,0.4158302843570709,0.7075854539871216,0.5309289693832397,0.5612435340881348,0.4722011685371399
25,0.0002500000118743628,0.30506569147109985,0.4145432114601135,0.7094720005989075,0.5351496934890747,0.5638638734817505,0.46789300441741943
26,0.0002500000118743628,0.30143940448760986,0.41188326478004456,0.7131034135818481,0.538008451461792,0.5640386939048767,0.46497803926467896
27,0.0002500000118743628,0.3019656538963318,0.4131605327129364,0.712583065032959,0.5219765901565552,0.5516464114189148,0.4813697934150696
28,0.0002500000118743628,0.2990594208240509,0.4105003774166107,0.7154965996742249,0.5510631203651428,0.5720266103744507,0.4516441822052002
29,0.0002500000118743628,0.2947811186313629,0.40817248821258545,0.7197792530059814,0.5233785510063171,0.5501903295516968,0.479947030544281
30,0.0002500000118743628,0.2904401421546936,0.4041859805583954,0.7241257429122925,0.5367117524147034,0.5602123737335205,0.4663243889808655
31,0.0002500000118743628,0.2892575263977051,0.4033953547477722,0.7253130674362183,0.5227124094963074,0.5463817715644836,0.4806371331214905
32,0.0002500000118743628,0.2856231927871704,0.4018332362174988,0.7289533615112305,0.5287157297134399,0.553922176361084,0.47450655698776245
33,0.0001250000059371814,0.27710214257240295,0.394168883562088,0.7374794483184814,0.5081043839454651,0.5399855375289917,0.49558067321777344
34,0.0001250000059371814,0.27078762650489807,0.389848530292511,0.743797779083252,0.5117822289466858,0.5404778122901917,0.49182242155075073
35,0.0001250000059371814,0.27079471945762634,0.38948893547058105,0.7437926530838013,0.5147278308868408,0.543730616569519,0.4888148307800293
36,0.0001250000059371814,0.2675268352031708,0.38756683468818665,0.7470638751983643,0.5113950967788696,0.5396935343742371,0.49222421646118164
37,0.0001250000059371814,0.26484712958335876,0.3847269117832184,0.7497444748878479,0.5192409157752991,0.5477709174156189,0.4842069745063782
38,0.0001250000059371814,0.2640632390975952,0.3852343261241913,0.7505316734313965,0.519438624382019,0.5441144704818726,0.4840087890625
39,0.0001250000059371814,0.2653048634529114,0.3869071304798126,0.7492920756340027,0.5112070441246033,0.5408840179443359,0.492422878742218
40,0.0001250000059371814,0.2602849006652832,0.38232073187828064,0.7543141841888428,0.5169265866279602,0.5432813763618469,0.48657912015914917
41,0.0001250000059371814,0.25954341888427734,0.38218045234680176,0.755057692527771,0.5254882574081421,0.5471829175949097,0.47783249616622925
42,0.0001250000059371814,0.2584579288959503,0.3814457058906555,0.7561455368995667,0.5230492353439331,0.5460676550865173,0.48032498359680176
