2026-06-01 11:23:40 | INFO    | transfer | Log file: C:\Users\lvgar\Music\COS\carbono_cos_dl\logs\run_20260601_112340.log
2026-06-01 11:23:40 | INFO    | transfer | Dataset NIR cargado desde cache (781 muestras)
2026-06-01 11:23:41 | INFO    | transfer | LUCAS: 15874 espectros (400-2500 nm) re-muestreados a 486 bandas; OC validos=15874
2026-06-01 11:23:41 | INFO    | transfer | Preentrenando LucasVGG16 en LUCAS (15874 muestras)...
2026-06-01 11:26:31 | INFO    | transfer | Afinando cabeza (cuerpo congelado)...
2026-06-01 11:26:43 | INFO    | transfer | Afinamiento completo (lr bajo)...
2026-06-01 11:27:07 | INFO    | transfer | ==================================================
2026-06-01 11:27:07 | INFO    | transfer | TRANSFER LucasVGG16 (NIR) -> R2=0.339 RMSE=0.520 RPD=1.23
2026-06-01 11:27:07 | INFO    | transfer | Guardado -> C:\Users\lvgar\Music\COS\carbono_cos_dl\results\transfer_NIR_LucasVGG16
