epoch,learning_rate,loss,mae,r_square,val_loss,val_mae,val_r_square
0,0.0005000000237487257,0.5668438076972961,0.5708606839179993,0.44763612747192383,0.5624650716781616,0.5694219470024109,0.43977266550064087
1,0.0005000000237487257,0.4065342843532562,0.48343774676322937,0.6077346801757812,0.6335036158561707,0.6095007061958313,0.3670250177383423
2,0.0005000000237487257,0.36606258153915405,0.45769721269607544,0.64811110496521,0.595915675163269,0.5848365426063538,0.4053664803504944
3,0.0005000000237487257,0.33613121509552,0.4377656579017639,0.677975594997406,0.6257680654525757,0.6049928069114685,0.3748047947883606
4,0.0005000000237487257,0.3113236129283905,0.4196626543998718,0.702734112739563,0.6289471387863159,0.6031504273414612,0.37151992321014404
5,0.0005000000237487257,0.29568442702293396,0.40956780314445496,0.7183465957641602,0.6678023338317871,0.6304210424423218,0.3317703604698181
6,0.0005000000237487257,0.2802221179008484,0.39830201864242554,0.7337775230407715,0.6346423625946045,0.5997154712677002,0.3656306266784668
7,0.0005000000237487257,0.26424798369407654,0.38519859313964844,0.7497270107269287,0.6376221179962158,0.6101250648498535,0.36256980895996094
8,0.0005000000237487257,0.2540714144706726,0.37785452604293823,0.7598876953125,0.587948203086853,0.5824723243713379,0.41332048177719116
9,0.0005000000237487257,0.2442219853401184,0.3700799345970154,0.7697173953056335,0.6561749577522278,0.6118612289428711,0.34357553720474243
10,0.0005000000237487257,0.23487892746925354,0.36315080523490906,0.7790523767471313,0.6491642594337463,0.6194757223129272,0.35073280334472656
11,0.0005000000237487257,0.22672724723815918,0.35638320446014404,0.7871955037117004,0.6390106081962585,0.6119150519371033,0.36110490560531616
12,0.0005000000237487257,0.22025197744369507,0.3513737916946411,0.7936663627624512,0.6476812362670898,0.6105381846427917,0.3522365689277649
13,0.0005000000237487257,0.21392783522605896,0.3457055985927582,0.7999855875968933,0.645877480506897,0.6062526702880859,0.35407692193984985
14,0.0005000000237487257,0.209835022687912,0.3431824743747711,0.8040750026702881,0.6603485941886902,0.6135707497596741,0.3392811417579651
15,0.0005000000237487257,0.20266710221767426,0.3350144624710083,0.8112446069717407,0.6508070230484009,0.6046884655952454,0.3490418791770935
16,0.0002500000118743628,0.1860111951828003,0.31849876046180725,0.8279069662094116,0.6481629014015198,0.594749391078949,0.35174983739852905
17,0.0002500000118743628,0.1795751452445984,0.3137621283531189,0.8343455791473389,0.6484084725379944,0.5929968953132629,0.35149943828582764
18,0.0002500000118743628,0.1779554933309555,0.312888503074646,0.8359676599502563,0.6528285145759583,0.5948277115821838,0.3469845652580261
19,0.0002500000118743628,0.1757412999868393,0.31079530715942383,0.8381825685501099,0.6620375514030457,0.5984011888504028,0.3375741243362427
20,0.0002500000118743628,0.17303591966629028,0.3077593147754669,0.8408896327018738,0.6659113764762878,0.6061335802078247,0.3336177468299866
21,0.0002500000118743628,0.1711333692073822,0.30649176239967346,0.842797040939331,0.6528829336166382,0.5980517268180847,0.34693729877471924
22,0.0002500000118743628,0.16655050218105316,0.30135294795036316,0.8473802804946899,0.659149169921875,0.6015806794166565,0.3405337929725647
23,0.0002500000118743628,0.16514575481414795,0.30162501335144043,0.8487902283668518,0.6692708730697632,0.605736255645752,0.33019185066223145
24,0.0002500000118743628,0.1644158512353897,0.29996779561042786,0.8495197892189026,0.6624681949615479,0.6001355648040771,0.33714747428894043
25,0.0002500000118743628,0.161677747964859,0.2975698709487915,0.8522627353668213,0.66530442237854,0.6078352332115173,0.33425039052963257
26,0.0002500000118743628,0.16056516766548157,0.29516443610191345,0.8533796072006226,0.6623552441596985,0.5998810529708862,0.3372710943222046
27,0.0002500000118743628,0.16119104623794556,0.2968387007713318,0.8527592420578003,0.6657714247703552,0.5966264009475708,0.33378511667251587
28,0.0002500000118743628,0.15347005426883698,0.2893981337547302,0.86048424243927,0.6618683934211731,0.5992012619972229,0.337780237197876
29,0.0002500000118743628,0.15409772098064423,0.28983932733535767,0.8598616123199463,0.6552044749259949,0.596718966960907,0.34459471702575684
30,0.0002500000118743628,0.1534043848514557,0.2887769937515259,0.8605600595474243,0.6718927025794983,0.6062026023864746,0.32754582166671753
31,0.0001250000059371814,0.14593727886676788,0.27981629967689514,0.8680312633514404,0.6723400950431824,0.5954123735427856,0.3270888328552246
32,0.0001250000059371814,0.14166691899299622,0.2765839099884033,0.8723026514053345,0.6629256010055542,0.5935139060020447,0.3367123603820801
33,0.0001250000059371814,0.14007608592510223,0.27409955859184265,0.8738946914672852,0.6695132255554199,0.5992562770843506,0.32997971773147583
34,0.0001250000059371814,0.14019423723220825,0.27343231439590454,0.8737765550613403,0.6783602833747864,0.5978472828865051,0.32094013690948486
35,0.0001250000059371814,0.1390199214220047,0.27402347326278687,0.8749534487724304,0.6722815632820129,0.5967000722885132,0.32715290784835815
36,0.0001250000059371814,0.1381005197763443,0.27279478311538696,0.8758742809295654,0.6808050274848938,0.6005207896232605,0.3184443712234497
37,0.0001250000059371814,0.13548998534679413,0.2699039578437805,0.8784863948822021,0.6752308011054993,0.5998739004135132,0.3241434693336487
38,0.0001250000059371814,0.13531100749969482,0.26917606592178345,0.8786680698394775,0.6801061630249023,0.5993132591247559,0.31916266679763794
39,0.0001250000059371814,0.1346360445022583,0.26857560873031616,0.8793449401855469,0.6787344813346863,0.6016674041748047,0.3205660581588745
40,0.0001250000059371814,0.13327720761299133,0.26708534359931946,0.8807049989700317,0.6748910546302795,0.5992028713226318,0.3244972229003906
