epoch,learning_rate,loss,mae,r_square,val_loss,val_mae,val_r_square
0,0.0005000000237487257,0.49855339527130127,0.5222973823547363,0.5377614498138428,0.6245594024658203,0.5801095366477966,0.39870017766952515
1,0.0005000000237487257,0.362766295671463,0.4391985535621643,0.6734657287597656,0.6582241654396057,0.6141170859336853,0.36431461572647095
2,0.0005000000237487257,0.3021449148654938,0.3979310989379883,0.7340942025184631,0.6491295099258423,0.6222274303436279,0.37360769510269165
3,0.0005000000237487257,0.25880107283592224,0.36354273557662964,0.7774538993835449,0.6052419543266296,0.5939863324165344,0.4184720516204834
4,0.0005000000237487257,0.22736841440200806,0.33836695551872253,0.8088895082473755,0.607303261756897,0.5925355553627014,0.4163532257080078
5,0.0005000000237487257,0.2059871405363083,0.3185315430164337,0.8302422761917114,0.616590678691864,0.6016722917556763,0.4068158268928528
6,0.0005000000237487257,0.18837369978427887,0.30340084433555603,0.8478260040283203,0.5945734977722168,0.5871704816818237,0.4292669892311096
7,0.0005000000237487257,0.1779516637325287,0.2909020483493805,0.8582079410552979,0.5960003733634949,0.5854951739311218,0.4277816414833069
8,0.0005000000237487257,0.16505305469036102,0.27901196479797363,0.8710693717002869,0.5775127410888672,0.5676543712615967,0.44663798809051514
9,0.0005000000237487257,0.1565602421760559,0.27066996693611145,0.8795322179794312,0.6177933812141418,0.6006965041160583,0.40545105934143066
10,0.0005000000237487257,0.15167923271656036,0.2644117474555969,0.8843809366226196,0.6307072043418884,0.5985082387924194,0.39221346378326416
11,0.0005000000237487257,0.14407579600811005,0.2558331787586212,0.8919388055801392,0.6362685561180115,0.6091105341911316,0.38648074865341187
12,0.0005000000237487257,0.13601794838905334,0.24723286926746368,0.8999534845352173,0.6131640672683716,0.5966284275054932,0.41002070903778076
13,0.0005000000237487257,0.1338653266429901,0.24460574984550476,0.902058482170105,0.6219924092292786,0.6061896681785583,0.400976300239563
14,0.0005000000237487257,0.1302478313446045,0.23883667588233948,0.9056360721588135,0.6120935678482056,0.6012377142906189,0.41104257106781006
15,0.0005000000237487257,0.12765127420425415,0.23733751475811005,0.9081998467445374,0.6170623302459717,0.5955821871757507,0.405936062335968
16,0.0005000000237487257,0.12321173399686813,0.23077021539211273,0.9125986099243164,0.6221221089363098,0.6054510474205017,0.40072399377822876
