epoch,learning_rate,loss,mae,r_square,val_loss,val_mae,val_r_square
0,0.0005000000237487257,3.1098084449768066,1.2346391677856445,-2.0951178073883057,1.4640424251556396,0.9092692732810974,-0.48136913776397705
1,0.0005000000237487257,1.4342304468154907,0.9616861343383789,-0.41955578327178955,0.8029500246047974,0.707710862159729,0.19430756568908691
2,0.0005000000237487257,1.213828682899475,0.8709505796432495,-0.19916749000549316,0.8213326334953308,0.6737149953842163,0.1755090355873108
3,0.0005000000237487257,1.1284022331237793,0.8298801779747009,-0.11374926567077637,0.8232585191726685,0.7171736359596252,0.17353171110153198
4,0.0005000000237487257,1.2044733762741089,0.8609964847564697,-0.18983232975006104,1.448822259902954,0.9007671475410461,-0.46586060523986816
5,0.0005000000237487257,1.259276032447815,0.8792735934257507,-0.24464941024780273,0.8683291673660278,0.6898441314697266,0.12743312120437622
6,0.0005000000237487257,1.0575700998306274,0.8015614748001099,-0.04295623302459717,0.8136488199234009,0.6833931803703308,0.18331408500671387
7,0.0005000000237487257,1.0707043409347534,0.8003016114234924,-0.05610466003417969,0.9582799673080444,0.7154207229614258,0.03547084331512451
8,0.0005000000237487257,1.0734970569610596,0.8048049807548523,-0.05891227722167969,1.6493420600891113,0.9926151633262634,-0.6708755493164062
9,0.0005000000237487257,1.0825624465942383,0.8032951951026917,-0.06800544261932373,0.7595268487930298,0.6868120431900024,0.23856490850448608
10,0.0005000000237487257,1.021136999130249,0.7811586260795593,-0.00660097599029541,1.0363401174545288,0.7402973175048828,-0.044377923011779785
11,0.0005000000237487257,0.9927245378494263,0.7695803642272949,0.021799862384796143,0.8676015734672546,0.715087354183197,0.12807726860046387
12,0.0005000000237487257,0.9149957895278931,0.7557241916656494,0.09951949119567871,0.810515284538269,0.6744784712791443,0.1864141821861267
13,0.0005000000237487257,0.9103887677192688,0.7387779951095581,0.10411262512207031,0.7955666184425354,0.6743215322494507,0.20168030261993408
14,0.0005000000237487257,0.8902885317802429,0.732829749584198,0.12420523166656494,0.7689217925071716,0.6769575476646423,0.22890597581863403
15,0.0005000000237487257,0.884059727191925,0.7356404066085815,0.13042742013931274,0.7778792977333069,0.6686848402023315,0.2197473645210266
16,0.0005000000237487257,0.8646983504295349,0.7302954196929932,0.14978665113449097,0.8145939111709595,0.6847420334815979,0.1822184920310974
17,0.0005000000237487257,0.8892506957054138,0.7191053032875061,0.1252310872077942,0.8412862420082092,0.697185218334198,0.15493559837341309
18,0.0005000000237487257,0.8280113339424133,0.7074006199836731,0.18646973371505737,0.7794721722602844,0.6640225052833557,0.2181130051612854
19,0.0005000000237487257,0.8239561915397644,0.6983490586280823,0.19052094221115112,0.8020942807197571,0.6742726564407349,0.19498687982559204
20,0.0005000000237487257,0.8216505646705627,0.7126360535621643,0.19282352924346924,0.8902497291564941,0.7064273953437805,0.10488277673721313
21,0.0005000000237487257,0.8726062178611755,0.7194122076034546,0.1418706178665161,0.944922924041748,0.7145301103591919,0.049005866050720215
22,0.0005000000237487257,0.8663622736930847,0.7214978933334351,0.1481119990348816,0.9031469821929932,0.6961438655853271,0.09169876575469971
23,0.0005000000237487257,0.8452751636505127,0.714768648147583,0.1691940426826477,0.768549382686615,0.6684002876281738,0.22926360368728638
24,0.0005000000237487257,0.841066300868988,0.6983779668807983,0.17339730262756348,0.7780255675315857,0.6783016324043274,0.21957343816757202
25,0.0002500000118743628,0.8000902533531189,0.6965165734291077,0.21437299251556396,0.7959680557250977,0.6855836510658264,0.20123785734176636
26,0.0002500000118743628,0.7754469513893127,0.6826854944229126,0.23902130126953125,0.7794978618621826,0.6879422068595886,0.2180774211883545
27,0.0002500000118743628,0.7479821443557739,0.6690141558647156,0.2664896249771118,0.7679365277290344,0.6749586462974548,0.22989702224731445
28,0.0002500000118743628,0.7197438478469849,0.6598619222640991,0.29473209381103516,0.7709428668022156,0.6791175007820129,0.2268298864364624
29,0.0002500000118743628,0.7617908716201782,0.670572817325592,0.25268906354904175,0.7822215557098389,0.6814486384391785,0.21530425548553467
30,0.0002500000118743628,0.7328661680221558,0.6658921837806702,0.28161710500717163,0.7773700952529907,0.691304087638855,0.22026783227920532
31,0.0002500000118743628,0.7213495969772339,0.6514754295349121,0.2931385040283203,0.7807278633117676,0.6845861673355103,0.21684056520462036
32,0.0002500000118743628,0.7000513672828674,0.6448950171470642,0.31444215774536133,0.7936223745346069,0.6818332672119141,0.2036687731742859
33,0.0002500000118743628,0.7051904201507568,0.6465964317321777,0.3093109130859375,0.8157697916030884,0.6926008462905884,0.1810397505760193
34,0.0002500000118743628,0.7269484400749207,0.6537778973579407,0.2875603437423706,0.7982595562934875,0.6908890008926392,0.19894421100616455
35,0.0002500000118743628,0.692775547504425,0.6387174129486084,0.3217405080795288,0.7920727729797363,0.6904718279838562,0.20527613162994385
36,0.0002500000118743628,0.7322100400924683,0.6540802121162415,0.28231507539749146,0.8104819655418396,0.6987399458885193,0.18646842241287231
37,0.0002500000118743628,0.6645249128341675,0.624351978302002,0.3500070571899414,0.7855694890022278,0.6848911643028259,0.2119395136833191
38,0.0002500000118743628,0.7140610814094543,0.6510474681854248,0.3004809021949768,0.7872222065925598,0.6868301630020142,0.21026068925857544
39,0.0002500000118743628,0.6838281154632568,0.630540668964386,0.3307230472564697,0.7945148944854736,0.6938746571540833,0.20281606912612915
40,0.0001250000059371814,0.6556623578071594,0.6254715919494629,0.3588958978652954,0.8234744071960449,0.6988534331321716,0.17322230339050293
41,0.0001250000059371814,0.6555970311164856,0.6216473579406738,0.3589666485786438,0.8069871068000793,0.6949334144592285,0.19007885456085205
42,0.0001250000059371814,0.6373178362846375,0.607882022857666,0.3772507905960083,0.7968860268592834,0.693835437297821,0.20040905475616455
43,0.0001250000059371814,0.6152914762496948,0.6042883992195129,0.3992835283279419,0.8017672300338745,0.6934187412261963,0.19542723894119263
